Triangle,Anum,Trait,Sequence
HermiteE,A066325,Tabl,[1 0 1 1 0 1 0 3 0 1 3 0 6 0 1 0 15 0 10 0 1 15 0 45 0 15 0 1 0 105 ]
HermiteE,A073278,RevTabl,[1 1 0 1 0 1 1 0 3 0 1 0 6 0 3 1 0 10 0 15 0 1 0 15 0 45 0 15 1 0 ]
HermiteE,A066325,InvTabl,[1 0 1 -1 0 1 0 -3 0 1 3 0 -6 0 1 0 15 0 -10 0 1 -15 0 45 0 -15 0 1 ]
HermiteE,,InvRevTabl,[]
HermiteE,A073278,RevInvTabl,[1 1 0 1 0 -1 1 0 -3 0 1 0 -6 0 3 1 0 -10 0 15 0 1 0 -15 0 45 0 -15 ]
HermiteE,,AccTabl,[1 0 1 1 1 2 0 3 3 4 3 3 9 9 10 0 15 15 25 25 26 15 15 60 60 75 75 ]
HermiteE,,RevAccTabl,[1 1 0 2 1 1 4 3 3 0 10 9 9 3 3 26 25 25 15 15 0 76 75 75 60 60 15 ]
HermiteE,,AccRevTabl,[1 1 1 1 1 2 1 1 4 4 1 1 7 7 10 1 1 11 11 26 26 1 1 16 16 61 61 76 ]
HermiteE,A001497,AntiDiagTabl,[1 0 1 1 0 0 3 3 1 0 0 0 15 15 6 1 0 0 0 0 105 105 45 10 1 0 0 0 0 ]
HermiteE,,DiffxTabl,[1 0 2 1 0 3 0 6 0 4 3 0 18 0 5 0 30 0 40 0 6 15 0 135 0 75 0 7 0 ]
HermiteE,,BinTabl,[1 0 1 1 1 2 0 3 6 10 3 3 9 21 40 0 15 30 55 100 176 15 15 60 150 ]
HermiteE,,InvBinTabl,[1 0 1 1 -1 2 0 3 -6 10 3 -3 9 -21 40 0 15 -30 55 -100 176 15 -15 ]
HermiteE,A000085,RowSum,[1 1 2 4 10 26 76 232 764 2620 9496 35696 140152 568504 2390480 ]
HermiteE,A066223,EvenSum,[1 0 2 0 10 0 76 0 764 0 9496 0 140152 0 2390480 0 46206736 0 ]
HermiteE,A066224,OddSum,[0 1 0 4 0 26 0 232 0 2620 0 35696 0 568504 0 10349536 0 211799312 ]
HermiteE,A000085,AltSum,[1 -1 2 -4 10 -26 76 -232 764 -2620 9496 -35696 140152 -568504 ]
HermiteE,A001515,AntiDiagSum,[1 0 2 0 7 0 37 0 266 0 2431 0 27007 0 353522 0 5329837 0 90960751 ]
HermiteE,,AccSum,[1 1 4 10 34 106 376 1324 5020 19324 78256 323896 1393624 6137080 ]
HermiteE,A000085,AccRevSum,[1 2 4 10 26 76 232 764 2620 9496 35696 140152 568504 2390480 ]
HermiteE,,RowLcm,[1 1 1 3 6 30 45 105 420 3780 9450 103950 623700 540540 945945 ]
HermiteE,A069834,RowGcd,[1 1 1 3 3 5 15 21 7 9 45 55 33 39 91 105 15 17 153 171 ]
HermiteE,,RowMax,[1 1 1 3 6 15 45 105 420 1260 4725 17325 62370 270270 945945 ]
HermiteE,,ColMiddle,[1 0 0 3 6 0 0 105 210 0 0 6930 13860 0 0 675675 1351350 0 0 ]
HermiteE,A359761,ColECentral,[1 0 6 0 210 0 13860 0 1351350 0 ]
HermiteE,,ColOCentral,[0 3 0 105 0 6930 0 675675 0 87297210 ]
HermiteE,A123022,ColLeft,[1 0 1 0 3 0 15 0 105 0 945 0 10395 0 135135 0 2027025 0 34459425 0 ]
HermiteE,A000012,ColRight,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
HermiteE,A344501,BinConv,[1 1 2 10 40 176 916 4852 27350 163270 1009396 6504356 43400512 ]
HermiteE,A344501,InvBinConv,[1 1 2 10 40 176 916 4852 27350 163270 1009396 6504356 43400512 ]
HermiteE,,TransSqrs,[0 1 4 12 40 130 456 1624 6112 23580 94960 392656 1681824 7390552 ]
HermiteE,A013989,TransNat0,[0 1 2 6 16 50 156 532 1856 6876 26200 104456 428352 1821976 ]
HermiteE,A000085,TransNat1,[1 2 4 10 26 76 232 764 2620 9496 35696 140152 568504 2390480 ]
HermiteE,A000004,DiagRow1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
HermiteE,A000217,DiagRow2,[1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 ]
HermiteE,A000004,DiagRow3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
HermiteE,A123022,DiagCol1,[1 0 3 0 15 0 105 0 945 0 10395 0 135135 0 2027025 0 34459425 0 ]
HermiteE,A001879,DiagCol2,[1 0 6 0 45 0 420 0 4725 0 62370 0 945945 0 16216200 0 310134825 0 ]
HermiteE,A000457,DiagCol3,[1 0 10 0 105 0 1260 0 17325 0 270270 0 4729725 0 91891800 0 ]
HermiteE,,PolyTabl,[1 0 1 1 1 1 0 2 2 1 3 4 5 3 1 0 10 14 10 4 1 15 26 43 36 17 5 1 0 ]
HermiteE,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
HermiteE,A002522,PolyRow2,[1 2 5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 ]
HermiteE,A061989,PolyRow3,[0 4 14 36 76 140 234 364 536 756 1030 1364 1764 2236 2786 3420 ]
HermiteE,A005425,PolyCol2,[1 2 5 14 43 142 499 1850 7193 29186 123109 538078 2430355 11317646 ]
HermiteE,A202834,PolyCol3,[1 3 10 36 138 558 2364 10440 47868 227124 1112184 5607792 29057400 ]
HermiteE,,PolyDiag,[1 1 5 36 355 4450 67731 1213240 25004393 582854940 15161973445 ]
HermiteE,A115329,PosHalf,[1 1 5 13 73 281 1741 8485 57233 328753 2389141 15539261 120661465 ]
HermiteE,A115329,NegHalf,[1 1 5 13 73 281 1741 8485 57233 328753 2389141 15539261 120661465 ]
